21111_1R2__1 *2L*2_FF F^_LFRFF
21L11_1^F2*2 L2^___L2 FR^F^L*_
21L22111^F22 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
11L21_1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^___L2 FR^F^L*_
21L11_1^*2*2 L_2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
21L11*1^*2*2 L*2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
21L11^1^*2*2 L*2^__L2 FR^F^L*_
21L11^1^*2*2 L*2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
21L11*1^*2*2 L*2^__L2 FR^F^L*_
21L11*1^*2*2 L*2^__L2 FR^F^L*_
21L11^1^*2*2 L*2^__L2 FR^F^L*_
21L11^1*^2*2 L*2^__L2 FR^F^L*_
21L11^1^*2*2 L*2^__L2 FR^F^L*_
21L11*1^*2*2 L*2^__L2 FR^F^L*_
21L11*1^*2*2 L*2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
21L11^1^*2*2 L*2^__L2 FR^F^L*_
21L11_1^*2*2 L2*^__L2 FR^F^L*_
21L11*1^*2*2 L*2^__L2 FR^F^L*_
F1L11^1^*2*2 L*2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
21L11_1^*2*2 L_2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
21L11*1^*2*2 L*2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
21L11_1^*2*2 L_2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
21L11^1^*2*2 L*2^__L2 FR^F^L*_
21L11_1^*2*2 L_2^__L2 FR^F^L*_
R1111^1^*2*2 L*2^_*L2 FR^F^L*_
21L11^1^F2*2 L*2^__L2 FR^F^L*_
21L11F1^*2*2 L_2^__L2 FR^F^L*_
21L1121^*2*2 L*2^__L2 FR^F^L*_
2*L111_1121^ L^F*2L*^ F*FFR^FF


reverse LR:

**1**11_112* _*R_2^_2 F_LF_^FR
11FL1LF*^^F* FF_F^22^ R*^FRFL^
11FL1LF*^^F* FF_F^22^ R*^FRFL^
11FL1LF*^^F* FF_F^22^ R*^FRFL^
11FL1LF*^^F* FF_F^22^ R*^FRFL^
11FL1LF*^^F* FF_F^22^ R*^FRFL^
11FL1LF*^^F* FF_F^22^ R*^FRFL^
11FL1LF*^^F* FF_F^22^ R*^FRFL^
11FL1LF*^^F* FF_F^22^ R*^FRFL^
11112LF*^^F* F2_2FFF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF_^^F* FF_2F2F^ R*^RFFL^
11112LF*^^F* FF22FFF^ R*^RFFL^
11112LF*^^F* FF_2F2F^ R*^RFFL^
11112LF*^^F* FF_2F2F^ R*^RFFL^
11112LF*^^F* FF_2F2F^ R*^RFFL^
11112LF*^^F* 2F*2FFF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* 2F_2FFF^ R*^RFFL^
11112LF*^^F* 2F_2FF_^ R*^RFFL^
11112LF*^^F* FF22FFF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* 2F_2FFF^ R*^RFFL^
11112LF*^^F2 FF22F*F^ R*^RFFL^
11112LF*^^F* F2_2FFF^ R*^RFFL^
11112LF*^^F* F2_2FFF^ R*^RFFL^
11112LF*^^F* FF22FFF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* 2F_2FFF^ R*^RFFL^
11112LF*^^F* _2_2FFF^ R*^RFFL^
11112LF*^^F* FF_2F2F^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LFF^^F* FF_22F*^ R*^RFFL^
11112LF*^^F* F2_2FFF^ R*^R_FL^
11112LF*^^F* FF_2F2F^ R*^RFFL^
11112LF*^^F* FF_2F2F^ R*^RFFL^
11112L_F^^F* F2_2FFF^ R*^RFFL^
11112LF*^^F* FF_2F2F^ R*^RFFL^
11112LF*^^F* FF22FFF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* 2__2FFF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* F2_2FFF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* 2F_2FFF^ R*^RFFL^
11112L^*_^F* FF22FFF^ R*^RFFL^
11112LF*^^F* FF_2_2F^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
11112LF*^^F* FF_22FF^ R*^RFFL^
